feature,importance
"Area Locality_Hiranandani Castle Rock, Hiranandani Gardens",0.00013955566808401755
"Area Locality_Saraswati Sadan, Parel",0.00013904338543516148
"Area Locality_Nakoda Heights, Nalasopara",0.00013488584562137444
Area Locality_Malviya Nagar,0.00013296575120726677
"Area Locality_Thakur Jewel, Thakur Village, Kandivali East",0.00013195042363201958
"Area Locality_Pushpanjali, Anand Vihar",0.00013095135503141147
"Area Locality_Man Opus, Mira Road",0.00013021771780028066
Area Locality_shivsagar,0.0001276935303647308
"Area Locality_Aristo Pearl Residency, Prabhadevi",0.00012621232011785733
"Area Locality_Adani Western Heights, Andheri West",0.00012403471322945426
"Area Locality_Sheth Beaumonte, Sion Koliwada",0.00012390902266229813
Area Locality_Chhattarpur Enclave,0.0001236300415313728
Area Locality_Opera House,0.00012239349147718728
"Area Locality_diamond garden, Chembur",0.00012206484531507162
Area Locality_MRC Nagar,0.00012203289387121232
Area Locality_Goregaon West,0.00012100824557394194
"Area Locality_Vittal Rao Nagar, Hitech City",0.00012025125082854101
Area Locality_Waterfield Road,0.00011926680096251381
"Area Locality_Dr Babasaheb Ambedkar Road, Mumbai",0.00011802869835909104
"Area Locality_Smoky Hill Apartment, Bandra West",0.00011747990616069859
"Area Locality_Auris Serenity, Kanch Pada",0.00011503808461152673
"Area Locality_Lodha New Cuffe Parade, Wadala",0.00011041237741405944
Area Locality_Lavelle Road,0.00010815856420233168
Area Locality_Gopalapuram,0.00010578327231721545
"Area Locality_Kohinoor City Phase II, Holly Cross Church Chowk",0.00010562128127402169
Area Locality_Prabhadevi,0.00010514101911677105
"Area Locality_Bhairav Residency, Mira Road",0.00010453219542779421
"Area Locality_Egmore, PH Road",0.00010345086385690638
"Area Locality_Banjara Hills, NH 9",0.00010339175209299263
"Area Locality_simla house at nepeasea road, Napean Sea Road",0.00010190680009120451
"Area Locality_Chetpet, PH Road",0.00010164848367992733
Area Locality_Old Mahabalipuram Road,0.00010120272549246811
"Area Locality_Ambrosia Apartment, Borivali East",0.0001006803567902704
Area Locality_new panvel,9.985072562757287e-05
Area Locality_Perry Rd,9.83725055305107e-05
"Area Locality_Mahindra Vivante, Chakala",9.829345539051543e-05
Area Locality_Worli Sea Face,9.778258783558692e-05
"Area Locality_Windsor Grande Residences, Andheri West",9.750037768335422e-05
"Area Locality_Lodha New Cuffe Parade, Wadala East",9.716812378724497e-05
"Area Locality_Rajesh Raj Classic, Yari Road",9.459873490122025e-05
Area Locality_Teynampet,9.231971100039824e-05
"Area Locality_Ashford Casa Grande, Lower Parel",9.06258794059692e-05
"Area Locality_Kanakia Paris, Bandra Kurla Complex",9.045468485152682e-05
Area Locality_Sion East,9.026803290919449e-05
Area Locality_Koramangala,9.008732147140446e-05
"Area Locality_Hiranandani Verona Co op Housing Society Ltd, Powai",8.91807966588877e-05
Area Locality_Mumbai Central,8.520740649732018e-05
Area Locality_New Friends Colony,8.359168973375361e-05
"Area Locality_Hiranandani Regent Hill, Hiranandani Gardens",8.270894610959676e-05
Area Locality_Carter Road,8.265436785596135e-05
"Area Locality_Sunflower Apartment, Bandra West",8.028211664195732e-05
"Area Locality_Ekta Trinity, Santacruz West",7.992930563174531e-05
"Area Locality_Hormany nest Apartments gandipet Apartmentge hyderabad, Hyderabad",7.979764174041181e-05
Area Locality_Frazer Town,7.949312642478861e-05
Area Locality_Indira Nagar,7.943087102869691e-05
"Area Locality_Lodha New Cuffe Parade, Bhakti Park",7.936410892541229e-05
"Area Locality_Kakateeya Nagar, Secunderabad",7.868337713132983e-05
"Area Locality_Purushottam Towers, Dadar West",7.863992269912452e-05
Area Locality_Chandivali,7.786149536625193e-05
Area Locality_2nd Main Road,7.69773812584574e-05
Area Locality_Santacruz East,7.570274059135978e-05
Area Locality_Dadar East,7.557805676248963e-05
Area Locality_Kakatiya Hills Madhapur,7.47090820896521e-05
"Area Locality_Vedic Village, Rajarhat",7.410795354687332e-05
"Area Locality_Island City Centre, Dadar TT Circle",7.37366153100996e-05
Area Locality_Shivaji Park,7.326149551472161e-05
"Area Locality_Prem Nagar, Patel Nagar",7.158020008829133e-05
"Area Locality_Shreenath nagar, Morya Nagar",7.149849014287075e-05
Area Locality_Kattedan Rd,6.999836036220248e-05
Area Locality_Best Nagar Goregaon West,6.93843366806612e-05
Area Locality_Kamla Nagar,6.886856230730874e-05
Area Locality_Salt Lake City Sector 3,6.868527484057326e-05
Area Locality_CIT Nagar,6.820724316636961e-05
Area Locality_Lajpat Nagar 1,6.805119538878718e-05
Area Locality_Borivali East,6.701530222293656e-05
Area Locality_in Sion,6.682335896839919e-05
"Area Locality_Usha Nagar Society, Bhandup West",6.48577612464067e-05
"Area Locality_Pali Hill Apartment, Pali Hill",6.482044512351336e-05
"Area Locality_Salvation CHS, Dadar West",6.43033973873926e-05
"Area Locality_Benzer Tower, Thakur Complex",6.372393134077025e-05
Area Locality_Lower Parel,6.349324957597298e-05
"Area Locality_Godrej The Trees, Vikhroli East",6.237009700198625e-05
"Area Locality_Sumit Greendale, Chikhal Dongari",6.22411803593072e-05
Area Locality_Anand niwas,6.081967563771678e-05
