feature,importance
Area Locality_Salt Lake City Sector 2,4.943312870058867e-06
Area Locality_Basavanagudi,4.865529337190022e-06
Area Locality_Bansdroni,4.736397661009441e-06
Area Locality_Vadapalani,4.497385771926467e-06
"Area Locality_Kelambakkam, Old Mahabalipuram Road",4.253521917245878e-06
Area Locality_Mandaiveli,4.146808879052349e-06
"Area Locality_Manikonda, Outer Ring Road",4.089818844342103e-06
Area Locality_Lajpat Nagar 1,4.0183572957242455e-06
Area Locality_Kondapur,4.001120234964097e-06
Area Locality_Salt Lake City,3.95950356974177e-06
Area Locality_Ashok Nagar,3.952380455756697e-06
"Area Locality_Lodha New Cuffe Parade, Wadala",3.935927327249383e-06
"Area Locality_Kailash Colony, Greater Kailash",3.9262960894523195e-06
Area Locality_Frazer Town,3.7471389784867503e-06
Area Locality_Dwarka Mor,3.6547636961897563e-06
Area Locality_Garvebhavi Palya,3.6254261369018233e-06
Area Locality_kst chattarpur Apartments,3.625113817006553e-06
Area Locality_Powai,3.494330444903422e-06
Area Locality_Rayasandra,3.3308568319140256e-06
"Area Locality_Altavista, Chembur",3.303463507844946e-06
Area Locality_Andheri East,3.276368116024143e-06
Area Locality_Kalkaji,3.0324711264617277e-06
"Area Locality_Ghatkesar, NH 2 2",2.9556072789306877e-06
Area Locality_Electronic City,2.9098435911809448e-06
Area Locality_Paschim Vihar,2.9089773034988553e-06
Area Locality_Model Town,2.7153696446263418e-06
Area Locality_Medavakkam,2.659974524637138e-06
"Area Locality_Man Opus, Mira Road",2.6479427955167807e-06
Area Locality_Rampally,2.6140015464276235e-06
Area Locality_Nizampet,2.593498240898958e-06
"Area Locality_Kaggadasapura, Indira nagar",2.4869604750082636e-06
Area Locality_Begumpet,2.482969687172016e-06
Area Locality_Banaswadi,2.420325875218592e-06
Area Locality_Guduvancheri,2.3796581468773413e-06
Area Locality_Borivali East,2.3749365237234724e-06
Area Locality_Toli Chowki,2.3390909827888357e-06
Area Locality_Mazgaon,2.232379222673859e-06
"Area Locality_Trump Tower, Worli",2.201221567366356e-06
"Area Locality_Jp Nagar Phase 5, J P Nagar, Outer Ring Road",2.193298387542042e-06
Area Locality_Salt Lake City Sector 5,2.122461479763946e-06
Area Locality_whitefield,2.047501858528044e-06
Area Locality_J P Nagar,2.0310431233379636e-06
Area Locality_Dwarka,2.0081992367527737e-06
Area Locality_Lajpat Nagar,1.925840705693335e-06
Area Locality_Madhapur,1.8819168621587237e-06
Area Locality_Malad East,1.8632331187995687e-06
Area Locality_Sholinganallur,1.8569109920032755e-06
"Area Locality_Arjun Nagar, Safdarjung Enclave",1.854363467377958e-06
Area Locality_Tumkur Road,1.7877310408822411e-06
Area Locality_Arumbakkam,1.7538398468426135e-06
"Area Locality_Urapakkam, Vandalur R.F, GST Road",1.7351645139423778e-06
"Area Locality_Beeramguda, Ramachandra Puram, NH 9",1.70815039207382e-06
Area Locality_Anna Nagar,1.6513951450121831e-06
Area Locality_Lokhandwala Complex,1.6319117731693558e-06
Area Locality_Meerpet,1.5859060237740946e-06
Area Locality_Attapur,1.489516019435171e-06
Area Locality_Anna Nagar West Extension,1.4518194067582968e-06
Area Locality_Kandivali West,1.3882090952341476e-06
Area Locality_Janakpuri,1.3877599870686583e-06
"Area Locality_Jp Nagar Phase 7, J P Nagar",1.3505337180016275e-06
Area Locality_Sindhi Society Chembur,1.3478769705331187e-06
Area Locality_Porur,1.3421602592980181e-06
Area Locality_Old Mahabalipuram Road,1.3298866929833491e-06
"Area Locality_Bolarum, Medchal Road",1.2736862767913036e-06
Area Locality_Kasba,1.2461572809013365e-06
"Area Locality_Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",1.2248107443884253e-06
Area Locality_Chhattarpur Enclave,1.2072195114317623e-06
Area Locality_Mulund West,1.1649989351830763e-06
Area Locality_Btm Layout,1.14295014874027e-06
Area Locality_Hennur Main Road,1.0522753321700327e-06
"Area Locality_Uppal, NH 2 2",1.0274394535752164e-06
Area Locality_Gottigere,1.0030735485961976e-06
Area Locality_Hooghly-Chinsurah,9.865521223120069e-07
Area Locality_Hydershakote,9.596391171402545e-07
Area Locality_Tambaram East,9.527141190412597e-07
Area Locality_Chandivali,9.515277323515567e-07
Area Locality_Iyyappanthangal,9.235128733007132e-07
"Area Locality_Kalpataru Crest, Bhandup West",9.155925311467436e-07
"Area Locality_Boduppal, NH 2 2",9.042548780810103e-07
Area Locality_Karol Bagh,8.859198739784691e-07
Area Locality_Sangam Vihar,8.799494729902927e-07
Area Locality_Survey Park,8.636526876943926e-07
"Area Locality_Perungalathur, Chennai Bypass Road",8.597907816529796e-07
Area Locality_Rohini Sector 24,8.431856934935839e-07
"Area Locality_Tambaram West, Tambaram, Chennai Bypass Road",8.373906841765604e-07
"Area Locality_Mahalaxmi CHS, Worli",7.839605324262275e-07
"Area Locality_Midas Enclave CHS , Nandiadwala Colony",7.282841344278481e-07
