feature,importance
Area Locality_Borivali East,1.8995593494097558e-06
Area Locality_Mambalam West,1.893783093441202e-06
"Area Locality_Transcon Triumph, Lokhandwala Complex",1.8574167683402974e-06
Area Locality_KK Nagar,1.8374351250885577e-06
Area Locality_Lajpat Nagar 4,1.7670687379533394e-06
"Area Locality_Kaggadasapura, Indira nagar",1.6130238832895641e-06
Area Locality_Anakaputhur,1.5785184071033556e-06
Area Locality_Lajpat Nagar,1.491917161913382e-06
"Area Locality_Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",1.4702394515946836e-06
Area Locality_K R Puram,1.4372838581518974e-06
Area Locality_Salt Lake City Sector 2,1.4089351436819584e-06
"Area Locality_Ajmera Bhakti Park, Bhakti Park",1.392382653372711e-06
Area Locality_Indira Nagar,1.3668273727290224e-06
"Area Locality_Gokul Apartment, Evershine Nagar",1.3406420087529922e-06
"Area Locality_Sunteck City Avenue 1, Goregaon West",1.2764874199812199e-06
Area Locality_Sholinganallur,1.203462012993596e-06
"Area Locality_Akruti Orchid Park, Sakinaka Junction",1.1613070928720154e-06
Area Locality_Vadapalani,1.145087071197551e-06
Area Locality_Santacruz East,1.1096948310299955e-06
Area Locality_Suchitra Circle,1.0904090893051665e-06
Area Locality_Dwarka Mor,1.0813507472557837e-06
"Area Locality_Himayath Nagar, NH 7",1.0776574607254176e-06
Area Locality_Dahisar East,1.0742807266814202e-06
Area Locality_Salt Lake City Sector 5,1.0200359454986022e-06
Area Locality_Raj Bhawan Road,9.80941782161879e-07
Area Locality_Old Bowenpally,9.791511797066117e-07
Area Locality_Masab Tank,9.770933668889473e-07
"Area Locality_Padur, Old Mahabalipuram Road",9.579408703988807e-07
Area Locality_Salt Lake City,9.091709571448118e-07
Area Locality_Garvebhavi Palya,8.670426199572254e-07
Area Locality_Medavakkam,8.222422523358196e-07
Area Locality_Arumbakkam,8.001933425246943e-07
Area Locality_D.N. Nagar,7.802849393858076e-07
Area Locality_Paschim Vihar,7.712489948486597e-07
"Area Locality_Kelambakkam, Old Mahabalipuram Road",7.559045418175505e-07
Area Locality_Neb Sarai,7.551358572303903e-07
"Area Locality_Beeramguda, Ramachandra Puram, NH 9",7.527314380260448e-07
Area Locality_Sarvodaya Enclave,7.517573229229691e-07
Area Locality_J P Nagar,7.430235991472514e-07
Area Locality_Bansdroni,7.353363625170386e-07
Area Locality_kst chattarpur Apartments,7.33026360762246e-07
Area Locality_Chandivali,7.310900801145564e-07
"Area Locality_Midas Enclave CHS , Nandiadwala Colony",7.306376865191109e-07
Area Locality_Mehdipatnam,7.218138642180949e-07
Area Locality_Malad East,6.806447244284294e-07
Area Locality_Rayasandra,6.757642512395154e-07
"Area Locality_Promenade At The Address, Ghatkopar West",6.601032916759923e-07
Area Locality_Thoraipakkam,6.326149573100536e-07
Area Locality_Guduvancheri,6.304939830317513e-07
"Area Locality_Chromepet, GST Road",6.269899825136199e-07
"Area Locality_Hayathnagar, NH 9",6.242151687591824e-07
Area Locality_Parel,6.110380175069383e-07
"Area Locality_Murugeshpalya, Airport Road",6.075520991487145e-07
Area Locality_Goregaon West,6.043131103181288e-07
"Area Locality_Uppal, NH 2 2",5.934913304207671e-07
Area Locality_Gottigere,5.741550202907305e-07
Area Locality_Garia,5.65957765078648e-07
Area Locality_Electronic City,5.569654154380223e-07
Area Locality_Dammaiguda,5.431726371402486e-07
Area Locality_Kandivali West,5.273915436945491e-07
Area Locality_Oshiwara,5.221167868709739e-07
Area Locality_Begumpet,5.02993550242612e-07
Area Locality_Perumbakkam,4.951566752649201e-07
"Area Locality_Hyder Nagar, NH 9",4.882141980959263e-07
Area Locality_Rampally,4.676826722488081e-07
Area Locality_Lokhandwala Complex,4.60931547629326e-07
Area Locality_Sainikpuri,4.560044791077133e-07
Area Locality_Nandambakkam,4.464439527404622e-07
Area Locality_Mira Road,4.358579977656176e-07
Area Locality_Behala,4.3219440067820216e-07
Area Locality_Meerpet,4.211929338885225e-07
Area Locality_Rohini Sector 24,4.19383147597754e-07
Area Locality_Mahadevapura,4.071272304120246e-07
Area Locality_Nizampet,3.847415666888769e-07
Area Locality_Hydershakote,3.8409891873054304e-07
Area Locality_Keshtopur,3.6800476240485054e-07
Area Locality_Dumdum Park,3.617261146365076e-07
Area Locality_Chhattarpur Enclave,3.572381802479417e-07
Area Locality_Hsr Layout,3.54225645976202e-07
"Area Locality_Bolarum, Medchal Road",3.425269629965941e-07
Area Locality_Banaswadi,3.3759587457057195e-07
Area Locality_Dum Dum Cantonment,3.3173585240623284e-07
Area Locality_Tambaram East,3.281556525741159e-07
Area Locality_Bommanahalli,3.275701146079295e-07
"Area Locality_Kukatpally, NH 9",3.253829621749753e-07
Area Locality_Chhattarpur,3.1446301719444166e-07
Area Locality_Patparganj,2.9462509226005624e-07
"Area Locality_Altavista, Chembur",2.894069093551663e-07
Area Locality_Kasba,2.8800141632471245e-07
"Area Locality_Mahalaxmi CHS, Worli",2.869377922125118e-07
Area Locality_Ghatkopar East,2.7242651595461547e-07
Area Locality_Pattabiram,2.697357370236028e-07
"Area Locality_Jp Nagar Phase 5, J P Nagar, Outer Ring Road",2.656107880680716e-07
Area Locality_Thalambur,2.615296158826912e-07
Area Locality_Baranagar,2.5438747610166867e-07
Area Locality_Thiruvanmiyur,2.524156797775659e-07
Area Locality_Sodepur,2.5085665676717765e-07
Area Locality_Najafgarh,2.49254435743932e-07
Area Locality_Almasguda,2.3637962843744347e-07
Area Locality_Pudupakkam,2.3510466063630346e-07
Area Locality_Hooghly-Chinsurah,2.2475283199267952e-07
Area Locality_Baguiati,2.2146782046895446e-07
"Area Locality_Padmarao Nagar, Hyderabad-Karimnagar Highway",2.1974306102361093e-07
Area Locality_Hebbal,2.1816413848950335e-07
"Area Locality_Perungalathur, Chennai Bypass Road",2.0154269346955345e-07
Area Locality_Porur,1.8310559788840854e-07
Area Locality_Kanjurmarg East,1.776432498722956e-07
Area Locality_Mayur Vihar 1,1.764375548173203e-07
Area Locality_Dwarka,1.751214973046166e-07
Area Locality_Mogappair East,1.6867311039255858e-07
"Area Locality_Electronic City Phase 2, Electronic City",1.6594820795314257e-07
"Area Locality_Hafeezpet, NH 9",1.6410521137381663e-07
"Area Locality_Safilguda, Secunderabad",1.630655143280492e-07
"Area Locality_Jp Nagar Phase 7, J P Nagar",1.6258833566892545e-07
Area Locality_Dum Dum,1.6209691508834234e-07
Area Locality_Ambattur,1.6054949513443658e-07
Area Locality_Pandav Nagar,1.5827562095810076e-07
Area Locality_Vijayanagar,1.550779805199075e-07
"Area Locality_Oberoi Esquire, Goregaon East",1.4255327448517585e-07
Area Locality_Baghajatin,1.3778389811975914e-07
"Area Locality_Rabindra Pally, Keshtopur",1.2950898742373634e-07
"Area Locality_Garia Station, Garia",1.2313559575550051e-07
Area Locality_Palam,1.1601671610039375e-07
